Date	cencppprivnonres	cencppprivres	cencpppub	cencpptot	cenhfs-supplymsa	cenhs-usmsa	cennewhsavgm	cennewhsmedm
1964-04	.	.	.	.	6	559	.	18800
1964-05	.	.	.	.	6.2	523	.	19300
1964-06	.	.	.	.	5.7	580	.	18800
1964-07	.	.	.	.	5.5	575	.	19100
1964-08	.	.	.	.	5.4	582	.	18900
1964-09	.	.	.	.	5.4	590	.	18900
1964-10	.	.	.	.	5.3	583	.	18900
1964-11	.	.	.	.	5.6	548	.	19300
1964-12	.	.	.	.	5.5	540	.	21000
1965-01	.	.	.	.	5.6	533	.	20700
1965-02	.	.	.	.	5.5	559	.	20400
1965-03	.	.	.	.	5.4	556	.	19800
1965-04	.	.	.	.	5.6	555	.	19900
1965-05	.	.	.	.	5.3	544	.	19600
1965-06	.	.	.	.	4.7	614	.	19800
1965-07	.	.	.	.	5.2	554	.	21000
1965-08	.	.	.	.	4.6	615	.	20200
1965-09	.	.	.	.	4.9	587	.	19600
1965-10	.	.	.	.	5	555	.	19900
1965-11	.	.	.	.	4.6	616	.	20600
1965-12	.	.	.	.	4.4	609	.	20300
1966-01	.	.	.	.	4.7	599	.	21200
1966-02	.	.	.	.	4.9	541	.	20900
1966-03	.	.	.	.	5	557	.	20800
1966-04	.	.	.	.	5.1	545	.	23000
1966-05	.	.	.	.	5.3	499	.	22300
1966-06	.	.	.	.	6	434	.	21200
1966-07	.	.	.	.	5.9	435	.	21800
1966-08	.	.	.	.	6.8	377	.	20700
1966-09	.	.	.	.	7.2	358	.	22200
1966-10	.	.	.	.	6.3	387	.	20800
1966-11	.	.	.	.	6.2	382	.	21700
1966-12	.	.	.	.	6.3	369	.	21700
1967-01	.	.	.	.	5.7	416	.	22200
1967-02	.	.	.	.	5.7	408	.	22400
1967-03	.	.	.	.	5.4	439	.	22400
1967-04	.	.	.	.	4.9	479	.	22300
1967-05	.	.	.	.	4.5	503	.	23700
1967-06	.	.	.	.	4.6	499	.	23900
1967-07	.	.	.	.	4.4	515	.	23300
1967-08	.	.	.	.	4.4	504	.	21700
1967-09	.	.	.	.	4.3	531	.	22800
1967-10	.	.	.	.	4.1	566	.	22300
1967-11	.	.	.	.	4.6	500	.	23100
1967-12	.	.	.	.	4.7	502	.	22200
1968-01	.	.	.	.	4.7	494	.	23400
1968-02	.	.	.	.	4.1	543	.	23500
1968-03	.	.	.	.	4.8	490	.	24600
1968-04	.	.	.	.	4.9	501	.	24500
1968-05	.	.	.	.	5.5	441	.	25300
1968-06	.	.	.	.	5.5	441	.	25400
1968-07	.	.	.	.	5.1	493	.	24600
1968-08	.	.	.	.	5	507	.	25000
1968-09	.	.	.	.	5.1	501	.	25000
1968-10	.	.	.	.	5.2	502	.	25600
1968-11	.	.	.	.	5.6	469	.	24600
1968-12	.	.	.	.	5.2	511	.	26500
1969-01	.	.	.	.	5.5	480	.	24600
1969-02	.	.	.	.	4.9	524	.	26000
1969-03	.	.	.	.	5.7	474	.	26200
1969-04	.	.	.	.	6	450	.	25900
1969-05	.	.	.	.	6.1	447	.	26900
1969-06	.	.	.	.	5.8	461	.	25200
1969-07	.	.	.	.	6.3	436	.	26800
1969-08	.	.	.	.	6.5	422	.	24900
1969-09	.	.	.	.	6.9	396	.	26000
1969-10	.	.	.	.	7	401	.	24400
1969-11	.	.	.	.	6.2	441	.	24900
1969-12	.	.	.	.	6.1	452	.	25100
1970-01	.	.	.	.	5.5	461	.	23600
1970-02	.	.	.	.	7.2	373	.	24100
1970-03	.	.	.	.	6.8	389	.	24100
1970-04	.	.	.	.	6	445	.	24200
1970-05	.	.	.	.	5.7	466	.	25700
1970-06	.	.	.	.	5.5	485	.	23800
1970-07	.	.	.	.	5.4	481	.	22900
1970-08	.	.	.	.	5.1	515	.	23500
1970-09	.	.	.	.	4.7	564	.	22600
1970-10	.	.	.	.	4.8	545	.	22100
1970-11	.	.	.	.	4.6	570	.	23500
1970-12	.	.	.	.	4.7	582	.	22300
1971-01	.	.	.	.	4.3	618	.	23900
1971-02	.	.	.	.	4.4	618	.	24500
1971-03	.	.	.	.	4	681	.	24300
1971-04	.	.	.	.	4.2	662	.	25800
1971-05	.	.	.	.	4.6	618	.	25500
1971-06	.	.	.	.	4.7	646	.	26100
1971-07	.	.	.	.	4.1	706	.	25200
1971-08	.	.	.	.	4.7	659	.	25300
1971-09	.	.	.	.	5.2	625	.	25400
1971-10	.	.	.	.	5	647	.	25600
